name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00515_me_sa_t1,meningioma,sagittal,0.022705078125,medium,medium 1%-5%,0.9811828136444092,0.9630606770515442,0.9811828136444092,0.9811828136444092
brisc2025_test_00516_me_sa_t1,meningioma,sagittal,0.01531982421875,medium,medium 1%-5%,0.972000002861023,0.9455252885818481,0.9759036302566528,0.9681274890899658
brisc2025_test_00517_me_sa_t1,meningioma,sagittal,0.0084228515625,small,small < 1%,0.8708487153053284,0.7712418437004089,0.8872180581092834,0.8550724387168884
brisc2025_test_00518_me_sa_t1,meningioma,sagittal,0.04315185546875,medium,medium 1%-5%,0.9851169586181641,0.9706704020500183,0.9872159361839294,0.9830268621444702
brisc2025_test_00519_me_sa_t1,meningioma,sagittal,0.02099609375,medium,medium 1%-5%,0.8799999952316284,0.7857142686843872,0.8128078579902649,0.9593023061752319
brisc2025_test_00520_me_sa_t1,meningioma,sagittal,0.01416015625,medium,medium 1%-5%,0.9550321102142334,0.9139344096183777,0.9489361643791199,0.9612069129943848
brisc2025_test_00521_me_sa_t1,meningioma,sagittal,0.00262451171875,small,small < 1%,0.7722772359848022,0.6290322542190552,0.6724137663841248,0.9069767594337463
brisc2025_test_00522_me_sa_t1,meningioma,sagittal,0.008544921875,small,small < 1%,0.9407407641410828,0.8881118893623352,0.9769230484962463,0.9071428775787354
brisc2025_test_00523_me_sa_t1,meningioma,sagittal,0.0068359375,small,small < 1%,0.8979591727256775,0.8148148059844971,0.8270676732063293,0.9821428656578064
brisc2025_test_00524_me_sa_t1,meningioma,sagittal,0.03302001953125,medium,medium 1%-5%,0.9306759238243103,0.8703403472900391,0.8760195970535278,0.9926062822341919
brisc2025_test_00525_me_sa_t1,meningioma,sagittal,0.03753662109375,medium,medium 1%-5%,0.9140350818634033,0.841680109500885,0.9923809766769409,0.8471544981002808
brisc2025_test_00526_me_sa_t1,meningioma,sagittal,0.00750732421875,small,small < 1%,0.7840531468391418,0.6448087692260742,0.6629213690757751,0.9593495726585388
brisc2025_test_00527_me_sa_t1,meningioma,sagittal,0.00592041015625,small,small < 1%,0.9340659379959106,0.876288652420044,1.0,0.876288652420044
brisc2025_test_00528_me_sa_t1,meningioma,sagittal,0.01800537109375,medium,medium 1%-5%,0.9375,0.8823529481887817,0.9608541131019592,0.9152542352676392
brisc2025_test_00529_me_sa_t1,meningioma,sagittal,0.01849365234375,medium,medium 1%-5%,0.9695945978164673,0.9409835934638977,0.9930796027183533,0.9471946954727173
brisc2025_test_00530_me_sa_t1,meningioma,sagittal,0.01092529296875,medium,medium 1%-5%,0.9747899174690247,0.9508196711540222,0.9775280952453613,0.9720670580863953
brisc2025_test_00531_me_sa_t1,meningioma,sagittal,0.01678466796875,medium,medium 1%-5%,0.9376114010810852,0.8825503587722778,0.9195803999900818,0.9563636183738708
brisc2025_test_00532_me_sa_t1,meningioma,sagittal,0.01873779296875,medium,medium 1%-5%,0.9692058563232422,0.9402515888214111,0.9645161032676697,0.9739413857460022
brisc2025_test_00533_me_sa_t1,meningioma,sagittal,0.0126953125,medium,medium 1%-5%,0.9292452931404114,0.8678414225578308,0.9120370149612427,0.9471153616905212
brisc2025_test_00534_me_sa_t1,meningioma,sagittal,0.0196533203125,medium,medium 1%-5%,0.9801526665687561,0.961077868938446,0.9639639854431152,0.9968944191932678
brisc2025_test_00535_me_sa_t1,meningioma,sagittal,0.009521484375,small,small < 1%,0.9418960213661194,0.8901734352111816,0.9005848169326782,0.9871794581413269
brisc2025_test_00536_me_sa_t1,meningioma,sagittal,0.045166015625,medium,medium 1%-5%,0.9663072824478149,0.9348109364509583,0.9637096524238586,0.9689189195632935
brisc2025_test_00537_me_sa_t1,meningioma,sagittal,0.0443115234375,medium,medium 1%-5%,0.9698245525360107,0.9414169192314148,0.9885550737380981,0.9517906308174133
brisc2025_test_00538_me_sa_t1,meningioma,sagittal,0.01220703125,medium,medium 1%-5%,0.9629629850387573,0.9285714030265808,0.9512194991111755,0.9750000238418579
brisc2025_test_00539_me_sa_t1,meningioma,sagittal,0.028564453125,medium,medium 1%-5%,0.9333333373069763,0.875,0.9722222089767456,0.8974359035491943
brisc2025_test_00540_me_sa_t1,meningioma,sagittal,0.057861328125,large,large > 5%,0.8834211826324463,0.791185736656189,0.9934123754501343,0.7953586578369141
brisc2025_test_00541_me_sa_t1,meningioma,sagittal,0.02386474609375,medium,medium 1%-5%,0.9042145609855652,0.8251748085021973,0.9030612111091614,0.905370831489563
brisc2025_test_00542_me_sa_t1,meningioma,sagittal,0.00604248046875,small,small < 1%,0.9430052042007446,0.8921568393707275,0.9680851101875305,0.9191918969154358
brisc2025_test_00543_me_sa_t1,meningioma,sagittal,0.02056884765625,medium,medium 1%-5%,0.853164553642273,0.743929386138916,0.743929386138916,1.0
brisc2025_test_00544_me_sa_t1,meningioma,sagittal,0.004638671875,small,small < 1%,0.9290322661399841,0.8674699068069458,0.9113923907279968,0.9473684430122375
brisc2025_test_00545_me_sa_t1,meningioma,sagittal,0.02099609375,medium,medium 1%-5%,0.9488636255264282,0.9027026891708374,0.9277777671813965,0.9709302186965942
brisc2025_test_00546_me_sa_t1,meningioma,sagittal,0.0260009765625,medium,medium 1%-5%,0.960091233253479,0.9232456088066101,0.9334811568260193,0.9882628917694092
brisc2025_test_00547_me_sa_t1,meningioma,sagittal,0.031005859375,medium,medium 1%-5%,0.98525071144104,0.9709302186965942,0.984282910823822,0.9862204790115356
brisc2025_test_00548_me_sa_t1,meningioma,sagittal,0.0185546875,medium,medium 1%-5%,0.9275808930397034,0.8649425506591797,0.8724637627601624,0.9901315569877625
